name,jif,jif5Years,fiveYearJifQuartile,jifWithoutSelfCites,immediacyIndex
CA-A CANCER JOURNAL FOR CLINICIANS,254.7,307.2,Q1,254.4,96.2
LANCET,168.9,118.1,Q1,167.8,33.7
NEW ENGLAND JOURNAL OF MEDICINE,158.5,115.7,Q1,157.6,29.9
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,120.7,81.4,Q1,119.5,19.5
NATURE REVIEWS DRUG DISCOVERY,120.1,111.5,Q1,119.7,22.6
NATURE REVIEWS MOLECULAR CELL BIOLOGY,112.7,111.7,Q1,112.1,12.4
BMJ-British Medical Journal,107.7,69.1,Q1,105.8,23.2
NATURE REVIEWS IMMUNOLOGY,100.3,85.4,Q1,99.9,14.4
NATURE REVIEWS MICROBIOLOGY,88.1,79.1,Q1,87.7,14.1
Nature Reviews Materials,83.5,90.2,Q1,83.2,13.6
NATURE MEDICINE,82.9,69.4,Q1,82.3,21.3
Nature Reviews Disease Primers,81.5,94.8,Q1,81.3,6.3
Nature Reviews Clinical Oncology,78.8,82.7,Q1,78.5,11.2
NATURE REVIEWS CANCER,78.5,80.3,Q1,78.2,13.1
Lancet Respiratory Medicine,76.2,52.5,Q1,75.7,15.5
World Psychiatry,73.3,63.8,Q1,67.9,12.6
Nature Reviews Gastroenterology & Hepatology,65.1,67.5,Q1,64.7,5.3
NATURE,64.8,60.9,Q1,64.0,13.7
CELL,64.5,57.5,Q1,64.0,19.1
Lancet Psychiatry,64.3,44.6,Q1,63.7,9.4
CHEMICAL REVIEWS,62.1,66.5,Q1,61.4,15.7
SCIENCE,56.9,54.5,Q1,56.4,15.5
Nature Energy,56.7,63.9,Q1,56.1,9.2
LANCET INFECTIOUS DISEASES,56.3,38.5,Q1,55.9,25.1
ADVANCES IN PHYSICS,54.8,31.8,Q1,54.8,4.0
LANCET ONCOLOGY,51.1,46.1,Q1,50.6,13.2
ANNALS OF ONCOLOGY,50.5,32.4,Q1,50.0,12.8
CANCER CELL,50.3,43.9,Q1,49.7,13.7
Lancet Public Health,50.0,37.8,Q1,49.6,9.6
Nature Reviews Cardiology,49.6,45.7,Q1,49.3,6.7
LANCET NEUROLOGY,48.0,51.3,Q1,47.5,14.9
NATURE METHODS,48.0,51.3,Q1,47.2,6.3
NATURE BIOTECHNOLOGY,46.9,59.1,Q1,46.1,8.5
CHEMICAL SOCIETY REVIEWS,46.2,51.2,Q1,45.7,8.1
JOURNAL OF CLINICAL ONCOLOGY,45.4,37.7,Q1,44.5,16.4
Lancet Diabetes & Endocrinology,44.5,38.8,Q1,43.8,11.7
CELL RESEARCH,44.1,39.3,Q1,43.8,12.4
REVIEWS OF MODERN PHYSICS,44.0,56.7,Q1,43.8,8.9
NATURE REVIEWS GENETICS,42.7,53.1,Q1,42.5,8.5
